category,confidence,reasoning,txn_id,description
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-333,dbt Cloud Team annual - data transformation 10 dev seats
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-334,Personal Swiggy order - home delivery non-business expense
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-335,MacBook Pro M3 Max 14in - engineer workstation batch 5 units
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-336,Content marketing agency quarterly retainer - Q2
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-339,Quarterly leadership offsite catering - 25 senior leaders
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-340,GitHub Enterprise Cloud annual - 150 developer seats
Meals & Catering,0.84,"Description references food/catering context (dinner, tea).",TXN-343,All-hands team dinner Q2 wrap-up event 95 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-344,Legal retainer - shareholder agreement and term sheet review
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (jira, confluence).",TXN-345,Atlassian Cloud bundle - Jira + Confluence 300 users annual
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-346,Content marketing agency quarterly retainer - Q2
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,PROC-00347,DocuSign Enterprise annual - unlimited envelopes 100 senders
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-348,CloudFront CDN data transfer - video streaming Q2 spike
Finance & Banking,0.55,Description references financial services or payment processing (forex).,TXN-349,FEMA compliance advisory - cross-border forex transactions
Travel & Transport,0.55,Description references travel or transport (airport).,TXN-350,Ride to airport BLR T2 - early morning investor meeting
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-352,Cisco IP phones - 30 units new office floor expansion
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",PMT-00353,Personal Amazon Prime annual renewal - home account
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-354,HRMS annual subscription - employee self-service 800 users
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-355,Payment gateway monthly transaction processing fees - April cycle
Travel & Transport,0.66,"Description references travel or transport (flight, travel).",PROC-00357,Spouse flight ticket - accompanied personal travel
Travel & Transport,0.55,Description references travel or transport (airport).,TXN-358,Ride to airport BLR T2 - early morning investor meeting
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-359,Route53 DNS annual - 45 hosted zones enterprise account
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-360,ESOP valuation report - grant price board approval
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-361,Office stationery bulk order Q2 - paper pens notebooks
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-363,Catering for Q1 product roadmap planning workshop - 120 pax
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-364,CloudFront CDN data transfer - video streaming Q2 spike
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-365,Office pantry restocking monthly - beverages snacks 200 staff
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-366,Sales kickoff catering day 1 - 85 team members
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-367,Due diligence report - acquisition target preliminary
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (hubspot).,PMT-00368,HubSpot Sales Hub Enterprise annual - 50 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-369,Google Ads campaign - Q3 brand performance spend
Travel & Transport,0.84,"Description references travel or transport (flight, boarding).",TXN-370,Flight CCU-BOM for Mumbai client onboarding visit
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-371,Amazon DSP advertising - festive season October
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-372,Personal Airtel mobile recharge - home number
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-373,Flight BLR-AMS for Amsterdam engineering summit - 2 pax
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-374,Udemy Business annual license - 100 seat L&D platform
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (subscription, creative cloud).",TXN-375,Creative Cloud team subscription - invoice pending CFO approval
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-376,Tableau Creator Cloud annual - analytics team 12 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-377,dbt Cloud Team annual - data transformation 10 dev seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-379,Azure Blob storage - backup and DR repository monthly
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-380,Personal Myntra purchase - clothing item non-business
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-382,Flight BLR-SIN for Singapore vendor summit - 2 pax business class
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,CLM-00383,CRM enterprise license Q3 - EMEA region expansion 150 users
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-384,
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (zoom).,TXN-385,Zoom Phone enterprise add-on - 200 DID numbers annual
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-386,Office stationery bulk order Q2 - paper pens notebooks
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-387,Standing desk Flexispot E7 - 5 units health initiative
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-391,EKS cluster management fee - 12 node pools microservices
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-392,Personal Myntra purchase - clothing item non-business
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-393,Sales kickoff catering day 2 - 85 team members
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-395,IP filing - 3 patent applications technology division
Hardware & Equipment,0.55,Description references physical hardware or equipment (laptop).,TXN-396,Dell XPS 15 - data scientist laptop 3 units
Finance & Banking,0.55,Description references financial services or payment processing (razorpay).,TXN-397,Refund - duplicate payment reversed by vendor Razorpay
Meals & Catering,0.84,"Description references food/catering context (dinner, restaurant).",TXN-398,Client dinner - deal closure celebration 8 pax restaurant booking
Travel & Transport,0.66,"Description references travel or transport (flight, travel).",TXN-399,Spouse flight ticket - accompanied personal travel
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (jira, confluence).",TXN-400,Atlassian Cloud bundle - Jira + Confluence 300 users annual
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-401,Town hall snacks and beverages - 200 employees all-hands
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-402,Sales kickoff catering day 2 - 85 team members
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-403,MacBook Pro M3 Max 14in - engineer workstation batch 5 units
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-404,Cloudflare Enterprise DDoS annual - production CDN
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (s3).,PMT-00406,S3 Glacier archival fees - compliance data retention 7yr policy
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-407,Cloud compute Q2 infra scaling - production cluster autoscaling
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-408,Anthropic API credits - Claude Sonnet production batch
Personal Expense,0.66,"Description contains personal-use indicators (personal, grocery).",TXN-409,Uber ride - Personal grocery run on weekend trip
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-410,Udemy Business annual license - 100 seat L&D platform
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-411,Twitter/X Ads - product launch announcement campaign
